name,color,lat,lon,elevation
W2,blue,33.448937,-111.967433,363.974
W3,yellow,33.450793,-111.967223,362.703
W3,yellow,33.450876,-111.967218,361.849
W2,blue,33.450901,-111.967229,361.873
W0,red,33.450977,-111.967431,362.463
W0,red,33.45101,-111.968464,363.472
W0,red,33.450987,-111.97029,364.684
W0,red,33.450997,-111.972699,364.162
W0,red,33.451043,-111.974789,360.822
W0,red,33.451111,-111.97608,358.871
W0,red,33.451142,-111.977904,355.848
W0,red,33.451165,-111.980566,353.853
W0,red,33.451186,-111.982915,353.16
W0,red,33.451204,-111.985118,351.379
W0,red,33.451209,-111.986803,348.8
W0,red,33.45121,-111.986908,348.902
W0,red,33.451212,-111.98692,349.396
W0,red,33.451217,-111.987866,349.911
W0,red,33.45122,-111.98969,348.839
W0,red,33.451258,-111.992479,346.678
W0,red,33.451273,-111.994997,346.356
W0,red,33.45129,-111.996893,345.26
W0,red,33.451308,-111.999766,343.988
W0,red,33.451312,-112.002973,342.501
W0,red,33.451326,-112.006642,341.588
W0,red,33.451323,-112.010389,340.431
W0,red,33.451349,-112.012943,339.281
W0,red,33.451336,-112.01621,338.651
W0,red,33.451352,-112.019387,338.029
W0,red,33.451355,-112.022603,337.5
W0,red,33.451375,-112.02558,337.029
W0,red,33.451379,-112.028769,336.126
W0,red,33.451354,-112.029871,334.323
W0,red,33.451336,-112.029979,334.494
W0,red,33.451329,-112.030038,334.771
W0,red,33.451063,-112.030211,335.312
W0,red,33.449631,-112.030221,334.996
W0,red,33.448805,-112.030238,334.148
W2,blue,33.448576,-112.030229,333.932
W0,red,33.448293,-112.030224,334.706
W0,red,33.447234,-112.030236,335.305
W0,red,33.445867,-112.030287,334.975
W0,red,33.444292,-112.030421,335.914
W0,red,33.443227,-112.031002,335.249
W0,red,33.442582,-112.031913,334.381
W0,red,33.442116,-112.033364,334.384
W0,red,33.441487,-112.034294,333.777
W0,red,33.44142,-112.034365,333.318
W0,red,33.441308,-112.034728,333.88
W0,red,33.441358,-112.035751,333.499
W0,red,33.44136,-112.037835,333.834
W0,red,33.441341,-112.041072,333.6
W0,red,33.441259,-112.041557,333.39
W0,red,33.440804,-112.042431,333.264
W0,red,33.440105,-112.043135,333.191
W0,red,33.439021,-112.043433,332.928
W0,red,33.437396,-112.043446,331.689
W0,red,33.437062,-112.043444,330.706
W0,red,33.437075,-112.043449,331.234
W0,red,33.436695,-112.04343,331.969
W0,red,33.435674,-112.04346,331.688
W0,red,33.43426,-112.043516,332.275
W0,red,33.433099,-112.043496,332.272
W0,red,33.432803,-112.043708,331.989
W0,red,33.432427,-112.044331,332.404
W0,red,33.432266,-112.04502,333.437
W0,red,33.432289,-112.046164,332.962
W0,red,33.432111,-112.046433,333.353
W2,blue,33.432065,-112.046429,333.349
W2,blue,33.431879,-112.046386,332.989
W2,blue,33.431723,-112.046209,333.227
W0,red,33.431747,-112.045802,333.335
W0,red,33.4318,-112.045557,333.068
W0,red,33.431836,-112.045094,333.0
W0,red,33.431839,-112.045061,333.199
W0,red,33.432073,-112.044749,333.098
W0,red,33.432116,-112.043708,332.544
W2,blue,33.432146,-112.043479,332.206
W3,yellow,33.432091,-112.04355,332.545
W4,pink,33.431816,-112.04333,332.419
