name,color,lat,lon,elevation
W2,blue,38.588658,-109.560827,1224.461
W2,blue,38.588656,-109.561011,1224.624
W2,blue,38.588703,-109.560967,1224.637
W0,red,38.589005,-109.561143,1224.811
W0,red,38.589951,-109.562149,1224.297
W0,red,38.591733,-109.56379,1224.904
W0,red,38.593133,-109.565415,1225.747
W0,red,38.59407,-109.566763,1225.424
W0,red,38.595697,-109.569031,1225.303
W0,red,38.597619,-109.571823,1224.987
W0,red,38.599069,-109.573323,1223.357
W0,red,38.601058,-109.575225,1221.926
W0,red,38.603918,-109.577922,1220.517
W0,red,38.606,-109.579966,1221.457
W0,red,38.606378,-109.580597,1221.696
W1,green,38.60672,-109.582308,1221.237
W1,green,38.606624,-109.58475,1220.917
W1,green,38.606349,-109.588164,1221.751
W1,green,38.60609,-109.590086,1224.574
W1,green,38.605958,-109.591055,1226.338
W1,green,38.605604,-109.593352,1226.68
W1,green,38.605079,-109.597036,1224.599
W1,green,38.605158,-109.598794,1227.701
W1,green,38.605193,-109.599017,1227.529
W1,green,38.605699,-109.60107,1228.331
W1,green,38.606635,-109.602776,1230.394
W1,green,38.607916,-109.604321,1233.445
W1,green,38.608242,-109.604722,1234.265
W1,green,38.609895,-109.60676,1236.979
W0,red,38.610682,-109.607675,1236.563
W0,red,38.61099,-109.608017,1236.468
W0,red,38.611214,-109.607985,1237.396
W0,red,38.611322,-109.607843,1237.305
W0,red,38.611811,-109.607847,1236.97
W0,red,38.611871,-109.607942,1236.95
W0,red,38.612177,-109.608526,1238.784
W0,red,38.612441,-109.609061,1238.737
W0,red,38.613796,-109.6108,1241.932
W0,red,38.615177,-109.612771,1244.686
W0,red,38.615874,-109.614078,1245.997
W0,red,38.616423,-109.615145,1246.799
W0,red,38.616532,-109.615417,1246.543
W0,red,38.616579,-109.615705,1246.367
W3,yellow,38.616553,-109.61595,1246.083
W3,yellow,38.616581,-109.616142,1246.263
W3,yellow,38.61658,-109.616321,1246.02
W3,yellow,38.616616,-109.616352,1246.036
W0,red,38.616643,-109.616635,1247.158
W0,red,38.616563,-109.617642,1247.722
W0,red,38.616279,-109.619045,1249.888
W0,red,38.615967,-109.619814,1249.998
W0,red,38.616046,-109.620106,1249.972
W0,red,38.616642,-109.620491,1250.433
W0,red,38.616692,-109.620533,1250.428
W0,red,38.616635,-109.620776,1250.368
W3,yellow,38.616633,-109.620819,1249.865
W3,yellow,38.616648,-109.620817,1246.796
W3,yellow,38.61665,-109.620804,1243.785
W3,yellow,38.616518,-109.62094,1242.188
W2,blue,38.616192,-109.62091,1242.262
W0,red,38.615947,-109.620686,1241.9
W0,red,38.615984,-109.620444,1241.539
W0,red,38.616027,-109.62033,1241.459
W0,red,38.615935,-109.620027,1241.437
W0,red,38.615764,-109.620131,1242.529
W0,red,38.615607,-109.620583,1244.164
W0,red,38.61548,-109.620994,1245.894
W0,red,38.615461,-109.62142,1248.032
W0,red,38.615746,-109.621935,1251.293
W0,red,38.61616,-109.622095,1254.531
W0,red,38.616363,-109.622042,1255.519
W0,red,38.616825,-109.621938,1258.556
W0,red,38.617164,-109.621802,1260.502
W0,red,38.617562,-109.62161,1263.404
W0,red,38.617933,-109.621343,1266.509
W0,red,38.618231,-109.620986,1269.978
W0,red,38.61851,-109.620361,1274.804
W0,red,38.618698,-109.619754,1278.134
W0,red,38.618737,-109.619508,1279.598
W0,red,38.618739,-109.619037,1282.046
W0,red,38.61845,-109.618292,1285.668
W0,red,38.618412,-109.618189,1286.071
W0,red,38.618439,-109.617367,1289.648
W0,red,38.618623,-109.616893,1291.824
W0,red,38.618677,-109.616634,1292.916
W0,red,38.618685,-109.616365,1294.145
W0,red,38.618665,-109.6161,1294.913
W0,red,38.618641,-109.615757,1296.551
W0,red,38.618902,-109.615372,1299.069
W0,red,38.619128,-109.615733,1301.298
W0,red,38.619123,-109.615946,1302.019
W0,red,38.619052,-109.616703,1305.517
W0,red,38.619009,-109.617206,1307.238
W0,red,38.619237,-109.617678,1310.313
W0,red,38.619309,-109.61766,1310.515
W0,red,38.619483,-109.617285,1312.426
W0,red,38.619436,-109.617112,1313.271
W0,red,38.61939,-109.616927,1314.007
W0,red,38.619344,-109.616733,1315.055
W0,red,38.619349,-109.616177,1317.995
W0,red,38.619506,-109.615458,1321.816
W0,red,38.619537,-109.614857,1325.496
W0,red,38.619394,-109.614238,1329.37
W0,red,38.619256,-109.613889,1331.315
W0,red,38.619019,-109.613431,1335.048
W0,red,38.618836,-109.612917,1338.553
W0,red,38.618679,-109.61235,1341.878
W0,red,38.61853,-109.611781,1345.743
W0,red,38.618318,-109.611203,1348.863
W0,red,38.618094,-109.610629,1352.501
W0,red,38.6179,-109.610015,1355.621
W0,red,38.617723,-109.609171,1358.863
W0,red,38.61758,-109.607168,1362.189
W0,red,38.617554,-109.606226,1364.979
W0,red,38.617915,-109.6055,1369.087
