name,color,lat,lon,elevation
W3,yellow,40.796458,-77.871193,398.427
W3,yellow,40.796457,-77.871194,398.289
W3,yellow,40.796589,-77.871121,398.197
W3,yellow,40.796518,-77.871139,398.338
W3,yellow,40.796451,-77.871173,398.27
W3,yellow,40.796456,-77.871203,398.27
W3,yellow,40.796444,-77.871194,398.092
W3,yellow,40.796489,-77.871228,398.417
W3,yellow,40.796467,-77.871211,398.301
W3,yellow,40.796603,-77.871139,398.111
W3,yellow,40.796677,-77.871071,398.254
W3,yellow,40.796707,-77.87098,398.325
W3,yellow,40.796706,-77.870979,398.33
W3,yellow,40.796767,-77.871002,398.177
W2,blue,40.796689,-77.871136,398.286
W3,yellow,40.796647,-77.871178,398.171
W3,yellow,40.796585,-77.871185,398.073
W3,yellow,40.796588,-77.871192,398.227
W3,yellow,40.796651,-77.871144,398.036
W3,yellow,40.796624,-77.871133,398.053
W2,blue,40.796708,-77.871057,398.118
W3,yellow,40.796648,-77.871145,377.746
W3,yellow,40.796648,-77.871145,380.877
W3,yellow,40.796648,-77.871145,380.037
W4,pink,40.809546,-77.902567,383.144
W1,green,40.809635,-77.903539,386.207
W1,green,40.809718,-77.904055,387.478
W1,green,40.809866,-77.904889,389.864
W1,green,40.81002,-77.905941,393.307
W1,green,40.810122,-77.906718,396.876
W1,green,40.810236,-77.907556,400.787
W1,green,40.810331,-77.908251,403.083
W1,green,40.810631,-77.910522,405.519
W1,green,40.810774,-77.912009,402.066
W1,green,40.810838,-77.912596,400.219
W1,green,40.810883,-77.913281,396.916
W0,red,40.810963,-77.913858,393.666
W0,red,40.810975,-77.914051,392.667
W0,red,40.811057,-77.914419,390.886
W0,red,40.81024,-77.914002,388.439
W0,red,40.810496,-77.915635,392.252
W1,green,40.810565,-77.916212,396.318
W1,green,40.81061,-77.916604,399.627
W1,green,40.81069,-77.917414,404.157
W1,green,40.810753,-77.91803,407.903
W1,green,40.810845,-77.91866,412.544
W1,green,40.810974,-77.919273,416.335
W1,green,40.811129,-77.919837,418.454
W1,green,40.811354,-77.92051,417.122
W0,red,40.811511,-77.920941,414.298
W0,red,40.811595,-77.921163,412.918
W0,red,40.811761,-77.921466,411.464
W0,red,40.811878,-77.921769,410.896
W0,red,40.812272,-77.922672,410.703
W0,red,40.812863,-77.923982,414.115
W0,red,40.813415,-77.925065,417.185
W0,red,40.813897,-77.925684,420.556
W0,red,40.814052,-77.925826,421.263
W0,red,40.814416,-77.926116,423.409
W0,red,40.81512,-77.926636,426.806
W0,red,40.816145,-77.927697,427.744
W1,green,40.816665,-77.928732,424.659
W1,green,40.816941,-77.929864,420.365
W1,green,40.817046,-77.930716,416.502
W1,green,40.817092,-77.931551,413.361
W1,green,40.817133,-77.932377,410.283
W1,green,40.817159,-77.933465,406.478
W1,green,40.817224,-77.934315,403.026
W0,red,40.817329,-77.935039,399.852
W0,red,40.817371,-77.935241,399.133
W0,red,40.817594,-77.936081,395.754
W0,red,40.817808,-77.93694,392.549
W0,red,40.817914,-77.937331,390.428
W0,red,40.818203,-77.938138,387.376
W0,red,40.818412,-77.938546,385.817
W0,red,40.818755,-77.938968,385.829
W0,red,40.819548,-77.939458,386.712
W0,red,40.820466,-77.939797,383.53
W0,red,40.820994,-77.940097,380.423
W0,red,40.821411,-77.940475,377.183
W0,red,40.821788,-77.940965,373.582
W0,red,40.822177,-77.941732,369.818
W0,red,40.82237,-77.942195,366.776
W0,red,40.822491,-77.942557,364.442
W0,red,40.822597,-77.942856,362.461
W0,red,40.822814,-77.943505,359.801
W0,red,40.823123,-77.944374,357.899
W0,red,40.823463,-77.945029,358.085
W0,red,40.824,-77.945822,360.087
W0,red,40.824386,-77.946407,363.396
W0,red,40.82464,-77.946827,366.77
W0,red,40.824853,-77.947186,369.979
W0,red,40.825124,-77.94763,373.663
W0,red,40.825369,-77.948074,377.271
W0,red,40.825608,-77.948583,380.847
W0,red,40.825829,-77.949098,384.64
W0,red,40.826047,-77.949613,388.214
W0,red,40.826218,-77.950148,392.065
W0,red,40.826346,-77.95064,395.711
W0,red,40.826418,-77.951038,399.282
W0,red,40.826538,-77.951681,403.24
W1,green,40.826658,-77.952574,406.265
W1,green,40.826758,-77.954091,403.317
W1,green,40.826819,-77.955297,399.386
W1,green,40.82688,-77.956034,395.765
W1,green,40.826906,-77.956434,394.523
W1,green,40.827117,-77.958674,395.042
W0,red,40.82716,-77.958967,394.889
W0,red,40.827587,-77.960642,396.118
W0,red,40.828115,-77.961881,398.332
W0,red,40.828518,-77.962638,401.791
W0,red,40.828729,-77.963058,405.198
W0,red,40.829066,-77.963647,409.292
W0,red,40.829346,-77.964074,412.635
W0,red,40.829673,-77.964523,415.977
W0,red,40.829916,-77.964824,419.115
W0,red,40.830292,-77.96523,422.891
W0,red,40.830677,-77.965648,427.473
W0,red,40.831059,-77.966085,431.539
W0,red,40.831326,-77.966373,434.721
W0,red,40.831737,-77.966769,439.2
W0,red,40.832154,-77.967124,443.427
W0,red,40.832435,-77.967336,446.993
W0,red,40.832883,-77.967665,451.573
W0,red,40.833195,-77.96789,455.249
W0,red,40.833629,-77.968259,459.485
W1,green,40.834033,-77.968764,463.169
W1,green,40.834342,-77.969325,466.677
W1,green,40.834618,-77.970086,470.329
W1,green,40.834764,-77.970953,472.777
W1,green,40.834781,-77.971453,474.028
W1,green,40.834759,-77.974281,475.302
W1,green,40.834597,-77.97606,472.057
W1,green,40.834571,-77.976253,471.797
W1,green,40.83432,-77.97752,467.98
W1,green,40.834224,-77.977903,466.692
W1,green,40.83404,-77.978473,463.394
W1,green,40.833751,-77.97928,459.831
W1,green,40.833505,-77.979906,456.757
W1,green,40.833284,-77.98056,453.05
W1,green,40.833083,-77.981235,449.467
W1,green,40.832873,-77.98192,446.282
W1,green,40.832672,-77.982589,442.856
W1,green,40.832394,-77.983501,439.78
W1,green,40.832125,-77.9844,436.014
W1,green,40.83187,-77.985279,432.961
W1,green,40.831613,-77.986167,429.308
W1,green,40.831417,-77.986847,426.279
W1,green,40.831233,-77.987498,423.25
W1,green,40.831047,-77.988157,419.837
W1,green,40.830792,-77.989036,415.855
W1,green,40.830551,-77.989912,412.204
W1,green,40.83034,-77.990794,408.475
W1,green,40.830159,-77.991644,404.148
W1,green,40.830062,-77.992218,400.661
W1,green,40.829984,-77.992725,396.981
W0,red,40.829959,-77.992884,396.411
W0,red,40.829859,-77.993659,392.329
W0,red,40.829859,-77.993803,391.596
W0,red,40.829793,-77.994056,390.723
W0,red,40.829568,-77.995369,386.261
W0,red,40.829473,-77.995845,382.92
W0,red,40.829363,-77.996462,379.439
W0,red,40.829318,-77.9967,378.134
W0,red,40.829209,-77.997233,374.776
W0,red,40.829167,-77.997302,374.291
W0,red,40.82907,-77.997729,371.184
W0,red,40.829026,-77.997869,370.535
W0,red,40.828944,-77.998225,368.914
W0,red,40.828819,-77.99879,366.486
W0,red,40.828658,-77.999527,363.08
W0,red,40.828499,-78.000182,359.908
W0,red,40.828413,-78.000632,357.939
W0,red,40.828371,-78.000929,356.919
W0,red,40.828344,-78.001155,355.94
W0,red,40.828192,-78.001847,352.031
W0,red,40.828174,-78.00192,351.96
W0,red,40.828126,-78.002406,349.252
W2,blue,40.828127,-78.00245,348.725
W2,blue,40.828098,-78.002727,347.962
W2,blue,40.828082,-78.002836,347.869
W2,blue,40.828076,-78.003094,346.587
W2,blue,40.828102,-78.003293,345.884
W0,red,40.828083,-78.003564,344.609
W0,red,40.828051,-78.003766,343.259
W0,red,40.828018,-78.00417,341.356
W0,red,40.82797,-78.004621,338.289
W0,red,40.827899,-78.004996,335.75
W0,red,40.82782,-78.005384,332.893
W0,red,40.827769,-78.005642,330.98
W0,red,40.82774,-78.005768,330.25
W0,red,40.827689,-78.006404,327.004
W0,red,40.827672,-78.006674,325.472
W0,red,40.827674,-78.007054,323.571
W0,red,40.827624,-78.007496,321.527
W0,red,40.827533,-78.008326,318.307
W0,red,40.82745,-78.009045,315.095
W0,red,40.827373,-78.009827,311.528
W0,red,40.827308,-78.010655,308.003
W0,red,40.827296,-78.011267,305.17
W0,red,40.82744,-78.012111,302.04
W0,red,40.827872,-78.013253,298.988
W0,red,40.828527,-78.014655,296.335
W0,red,40.828976,-78.01558,294.46
W0,red,40.829463,-78.016547,292.162
W0,red,40.829697,-78.017025,291.387
W0,red,40.829885,-78.017645,289.993
W0,red,40.829906,-78.018118,289.24
W0,red,40.829823,-78.018751,288.458
W0,red,40.829635,-78.019216,288.052
W0,red,40.828863,-78.019681,286.984
W0,red,40.827919,-78.020045,286.316
W0,red,40.827753,-78.020154,286.595
W0,red,40.827221,-78.020837,287.129
W0,red,40.826797,-78.021497,287.924
W0,red,40.826423,-78.022046,288.119
W0,red,40.826182,-78.022425,287.97
W0,red,40.825871,-78.022987,287.974
W0,red,40.825078,-78.024149,287.369
W0,red,40.8247,-78.024834,287.061
W0,red,40.824401,-78.025314,287.776
W0,red,40.823788,-78.02625,289.077
W0,red,40.8231,-78.027322,289.724
W0,red,40.82243,-78.028207,290.133
W0,red,40.821917,-78.028769,290.056
W0,red,40.820832,-78.029855,289.751
W0,red,40.819738,-78.031118,291.035
W0,red,40.818803,-78.032209,291.409
W0,red,40.818513,-78.032481,291.838
W0,red,40.818221,-78.032844,292.37
W0,red,40.818078,-78.033043,292.493
W0,red,40.817092,-78.03413,293.107
W0,red,40.816364,-78.034969,293.772
W0,red,40.815484,-78.035948,294.711
W0,red,40.814245,-78.037309,295.487
W0,red,40.813268,-78.038802,295.822
W0,red,40.812261,-78.040324,296.412
W0,red,40.811163,-78.041783,297.382
W0,red,40.810293,-78.042789,298.089
W0,red,40.809118,-78.044065,299.078
W0,red,40.80833,-78.044892,299.353
W0,red,40.807142,-78.046213,300.433
W0,red,40.805529,-78.047945,301.804
W0,red,40.804159,-78.04899,304.728
W0,red,40.803046,-78.05022,305.727
W0,red,40.801997,-78.051412,306.25
W0,red,40.801398,-78.052097,306.24
W0,red,40.80095,-78.052599,306.506
W0,red,40.800313,-78.053433,306.993
W0,red,40.80018,-78.053542,307.552
W0,red,40.799966,-78.053793,308.674
W0,red,40.79986,-78.053953,309.177
W0,red,40.799776,-78.054128,309.817
W0,red,40.799879,-78.054359,310.756
W0,red,40.800511,-78.05522,313.797
W0,red,40.801147,-78.056897,317.035
W0,red,40.801266,-78.057255,317.915
W0,red,40.801516,-78.057965,320.238
W0,red,40.80184,-78.058843,323.597
W0,red,40.802118,-78.059536,327.096
W0,red,40.802426,-78.060195,330.22
W0,red,40.803255,-78.061913,333.426
W0,red,40.804164,-78.063932,333.256
W0,red,40.804229,-78.064075,332.445
W0,red,40.804056,-78.064477,332.398
W0,red,40.803953,-78.064527,333.003
W0,red,40.80333,-78.064794,337.059
W0,red,40.802863,-78.06499,340.386
W0,red,40.802356,-78.065143,343.401
W0,red,40.801809,-78.065262,347.213
W0,red,40.801049,-78.065441,350.38
W0,red,40.800641,-78.065552,351.36
W0,red,40.798634,-78.06629,353.022
W0,red,40.79629,-78.067123,349.832
W0,red,40.795013,-78.067435,346.714
W0,red,40.793627,-78.06767,342.464
W0,red,40.792494,-78.067758,339.111
W0,red,40.791384,-78.067771,335.235
W0,red,40.790538,-78.06773,332.073
W0,red,40.789706,-78.067645,328.517
W0,red,40.788598,-78.067478,325.019
W0,red,40.785811,-78.067217,326.667
W0,red,40.784458,-78.067502,330.341
W0,red,40.78318,-78.068093,334.236
W1,green,40.782453,-78.068591,336.472
W1,green,40.781329,-78.069663,339.935
W1,green,40.780324,-78.070965,343.452
W1,green,40.780132,-78.071227,343.435
W1,green,40.778962,-78.072846,346.552
W1,green,40.778766,-78.073115,346.764
W1,green,40.777997,-78.07416,348.614
W1,green,40.776842,-78.075739,352.112
W1,green,40.776078,-78.076794,355.241
W1,green,40.775498,-78.07757,356.968
W1,green,40.774739,-78.078614,360.276
W1,green,40.773797,-78.079942,363.766
W1,green,40.772978,-78.080936,366.889
W1,green,40.772095,-78.081826,369.913
W1,green,40.770913,-78.082794,373.497
W1,green,40.770202,-78.083369,376.856
W1,green,40.769968,-78.083557,376.91
W1,green,40.768597,-78.084789,380.362
W1,green,40.767114,-78.086489,383.176
W1,green,40.764231,-78.090494,385.94
W1,green,40.763291,-78.091822,389.368
W1,green,40.762539,-78.092854,393.214
W1,green,40.762154,-78.093372,394.35
W1,green,40.761365,-78.094376,397.754
