name,color,lat,lon,elevation
W3,yellow,37.625003,-109.477094,1855.545
W3,yellow,37.62483,-109.477196,1854.337
W3,yellow,37.62482,-109.477168,1854.508
W3,yellow,37.624822,-109.477162,1854.936
W3,yellow,37.624815,-109.477175,1854.819
W3,yellow,37.624835,-109.477183,1854.995
W3,yellow,37.624849,-109.477173,1854.498
W3,yellow,37.624862,-109.477177,1853.597
W3,yellow,37.624816,-109.47717,1854.424
W0,red,37.624803,-109.476654,1853.26
W0,red,37.6248,-109.476325,1851.84
W2,blue,37.625035,-109.476247,1850.39
W2,blue,37.625237,-109.476217,1849.469
W3,yellow,37.625244,-109.476224,1849.591
W0,red,37.625342,-109.476839,1852.204
W0,red,37.625382,-109.477793,1854.879
W0,red,37.625382,-109.477914,1855.966
W0,red,37.625063,-109.478016,1857.539
W0,red,37.623566,-109.478022,1858.111
W0,red,37.622797,-109.478034,1855.907
W0,red,37.621999,-109.478041,1852.873
W0,red,37.620601,-109.47801,1849.598
W0,red,37.619087,-109.47802,1846.77
W0,red,37.617716,-109.47807,1845.041
W0,red,37.616023,-109.478817,1842.09
W0,red,37.615095,-109.478944,1839.03
W0,red,37.614327,-109.478955,1836.402
W0,red,37.61383,-109.478957,1834.531
W0,red,37.613338,-109.47896,1832.688
W0,red,37.611723,-109.47897,1829.423
W0,red,37.609917,-109.478948,1827.76
W0,red,37.608235,-109.478942,1824.742
W0,red,37.607446,-109.478921,1821.222
W0,red,37.605082,-109.478836,1818.175
W0,red,37.603303,-109.478775,1814.925
W0,red,37.60212,-109.478749,1811.655
W0,red,37.600747,-109.478697,1808.632
W0,red,37.599767,-109.478665,1806.87
W0,red,37.59741,-109.478605,1803.838
W0,red,37.597014,-109.478598,1802.798
W0,red,37.596621,-109.478592,1801.568
W0,red,37.595249,-109.478543,1798.548
W0,red,37.593875,-109.478469,1795.192
W0,red,37.593479,-109.478453,1794.32
W0,red,37.592691,-109.478429,1791.681
W0,red,37.590331,-109.478381,1788.6
W0,red,37.588744,-109.478339,1785.394
W0,red,37.588353,-109.478328,1784.697
W0,red,37.586012,-109.478271,1781.585
W0,red,37.584237,-109.478245,1778.556
W0,red,37.583834,-109.478233,1777.724
W0,red,37.582655,-109.478219,1774.665
W0,red,37.581664,-109.478216,1771.599
W0,red,37.580672,-109.478203,1768.452
W0,red,37.579479,-109.478186,1765.255
W0,red,37.5785,-109.478192,1762.869
W0,red,37.576417,-109.478376,1759.785
W0,red,37.575165,-109.479122,1759.895
W1,green,37.574273,-109.480214,1760.612
W1,green,37.573907,-109.481052,1761.778
W1,green,37.573555,-109.483242,1760.758
W1,green,37.57356,-109.484084,1759.088
W1,green,37.573406,-109.486015,1756.294
W1,green,37.573022,-109.487168,1753.936
W0,red,37.572917,-109.487368,1753.13
W0,red,37.572969,-109.487662,1753.52
W0,red,37.573311,-109.488095,1755.444
W0,red,37.573482,-109.488491,1756.711
W0,red,37.573532,-109.488648,1757.204
W1,green,37.573621,-109.489154,1758.63
W1,green,37.573622,-109.490577,1761.856
W1,green,37.573604,-109.492012,1765.071
W1,green,37.573602,-109.492269,1765.26
W1,green,37.573583,-109.49553,1761.814
W1,green,37.573585,-109.496348,1760.349
W1,green,37.573585,-109.497421,1757.021
W1,green,37.573745,-109.498739,1753.227
W1,green,37.573911,-109.499499,1750.677
W1,green,37.5741,-109.500451,1747.432
