name,color,lat,lon,elevation
W4,pink,33.430438,-112.045864,151.978
W3,yellow,33.430433,-112.045869,155.705
W2,blue,33.430418,-112.045889,159.68
W2,blue,33.430403,-112.045897,163.331
W2,blue,33.43038,-112.045908,166.931
W2,blue,33.430358,-112.045916,170.26
W2,blue,33.430355,-112.045929,173.66
W2,blue,33.430339,-112.045946,177.03
W3,yellow,33.430336,-112.045945,180.55
W3,yellow,33.430322,-112.045961,186.649
W3,yellow,33.43032,-112.045966,189.658
W3,yellow,33.430316,-112.045962,195.313
W3,yellow,33.430318,-112.045949,200.736
W2,blue,33.430331,-112.045931,205.651
W2,blue,33.43035,-112.04592,210.601
W2,blue,33.430357,-112.0459,215.434
W2,blue,33.430398,-112.045869,219.762
W2,blue,33.430397,-112.0458,222.172
W3,yellow,33.430442,-112.045802,226.764
W3,yellow,33.430453,-112.045791,230.686
W3,yellow,33.430455,-112.045789,234.688
W3,yellow,33.430456,-112.045786,238.346
W3,yellow,33.430457,-112.045783,241.862
W3,yellow,33.43046,-112.045778,245.156
W3,yellow,33.430462,-112.045772,249.496
W3,yellow,33.430463,-112.04577,249.599
W3,yellow,33.430467,-112.045764,253.459
W3,yellow,33.430468,-112.045764,257.082
W3,yellow,33.430463,-112.045773,260.233
W3,yellow,33.430459,-112.045785,263.437
W3,yellow,33.430458,-112.04579,266.866
W3,yellow,33.430458,-112.045812,269.89
W3,yellow,33.430454,-112.045835,273.039
W3,yellow,33.43045,-112.045845,276.12
W3,yellow,33.430446,-112.045869,279.291
W3,yellow,33.430444,-112.04587,282.378
W3,yellow,33.430435,-112.046001,285.385
W3,yellow,33.430381,-112.046048,282.212
W2,blue,33.430498,-112.045936,278.917
W2,blue,33.431002,-112.045053,277.543
W2,blue,33.430102,-112.044965,279.746
W2,blue,33.429404,-112.044883,281.384
W3,yellow,33.428964,-112.044837,282.897
W3,yellow,33.428776,-112.044833,283.728
W3,yellow,33.428619,-112.04498,284.567
W3,yellow,33.428662,-112.045012,285.995
W3,yellow,33.428847,-112.045057,286.461
W3,yellow,33.429091,-112.045138,287.229
W3,yellow,33.429021,-112.045002,287.994
W3,yellow,33.428975,-112.044885,288.414
W3,yellow,33.428937,-112.044901,288.972
W2,blue,33.429096,-112.045132,289.712
W2,blue,33.429081,-112.045153,289.83
W2,blue,33.429103,-112.045222,289.953
W2,blue,33.429254,-112.044961,290.393
W2,blue,33.42904,-112.045206,290.42
W3,yellow,33.429119,-112.045379,290.703
W3,yellow,33.429212,-112.045262,290.488
W3,yellow,33.429256,-112.044931,289.861
W3,yellow,33.429342,-112.044726,289.816
W2,blue,33.429438,-112.045054,290.147
W2,blue,33.429316,-112.045294,289.638
W2,blue,33.430017,-112.04456,288.466
W2,blue,33.430237,-112.044916,287.955
W2,blue,33.430168,-112.044803,288.604
W0,red,33.430013,-112.044652,288.361
W0,red,33.430009,-112.044492,288.489
W2,blue,33.429838,-112.044237,288.806
W2,blue,33.429785,-112.04428,288.547
W2,blue,33.429393,-112.044572,288.682
W2,blue,33.42904,-112.044994,289.189
W2,blue,33.428785,-112.045119,288.941
W2,blue,33.429057,-112.044808,289.741
W3,yellow,33.428902,-112.04493,290.021
W3,yellow,33.429018,-112.044948,289.599
W3,yellow,33.429176,-112.044945,290.347
W3,yellow,33.429464,-112.045069,293.503
W3,yellow,33.429416,-112.045033,296.539
W3,yellow,33.429385,-112.045093,299.606
W3,yellow,33.429374,-112.045045,300.638
W3,yellow,33.42954,-112.044561,303.803
W0,red,33.429548,-112.044279,303.967
W0,red,33.429539,-112.044139,304.327
W1,green,33.430194,-112.042978,304.171
W0,red,33.429965,-112.043176,304.358
W0,red,33.429905,-112.04319,303.696
W0,red,33.429454,-112.042933,305.226
W0,red,33.429438,-112.042561,303.701
W0,red,33.429937,-112.04259,304.368
W0,red,33.430634,-112.042563,303.647
W0,red,33.430736,-112.04254,303.895
W0,red,33.431368,-112.042092,303.797
W0,red,33.431476,-112.041997,302.645
W0,red,33.43151,-112.041945,303.941
W0,red,33.431389,-112.041318,306.735
W0,red,33.431317,-112.03995,308.061
W0,red,33.431309,-112.037811,308.845
W0,red,33.431322,-112.036391,308.859
W0,red,33.431391,-112.035332,305.96
W0,red,33.431377,-112.035204,304.615
W0,red,33.431387,-112.035,305.568
W0,red,33.431625,-112.034621,306.668
W0,red,33.431805,-112.034611,307.224
W0,red,33.433135,-112.034612,309.971
W0,red,33.43512,-112.034612,309.366
W0,red,33.43618,-112.034659,307.384
W0,red,33.43659,-112.034673,306.044
W0,red,33.436665,-112.034686,307.478
W0,red,33.436881,-112.035051,307.909
W0,red,33.436849,-112.036062,310.12
W0,red,33.436841,-112.036689,307.453
W0,red,33.436826,-112.036768,306.61
W0,red,33.436828,-112.036842,307.207
W0,red,33.436865,-112.037196,308.409
W0,red,33.436878,-112.03876,310.993
W0,red,33.436901,-112.041591,309.076
W0,red,33.436933,-112.042697,307.55
W0,red,33.436906,-112.042878,306.755
W0,red,33.436905,-112.042882,306.729
W0,red,33.436928,-112.043338,307.882
W0,red,33.43692,-112.04478,309.152
W0,red,33.436924,-112.046686,308.982
W0,red,33.436933,-112.047289,307.272
W0,red,33.436944,-112.047575,307.661
W0,red,33.437216,-112.047716,309.512
W0,red,33.437795,-112.047695,311.902
W0,red,33.439513,-112.047697,311.663
W0,red,33.440631,-112.047719,308.846
W2,blue,33.441016,-112.047715,307.396
W2,blue,33.441088,-112.047725,307.688
W2,blue,33.441181,-112.047733,308.171
W0,red,33.442237,-112.047719,310.444
W0,red,33.443091,-112.047739,313.47
W0,red,33.443434,-112.047737,316.72
W0,red,33.44392,-112.047735,319.381
W0,red,33.444879,-112.047731,322.407
W0,red,33.445025,-112.047729,322.36
W0,red,33.445555,-112.047722,319.076
W0,red,33.445761,-112.04772,316.028
W0,red,33.446299,-112.047714,311.868
W2,blue,33.44644,-112.047707,310.261
W2,blue,33.446475,-112.047694,309.887
W2,blue,33.446742,-112.047697,309.84
W2,blue,33.447852,-112.04772,310.238
W2,blue,33.448482,-112.04771,309.748
W2,blue,33.448608,-112.047646,309.298
W2,blue,33.44859,-112.04756,309.447
W2,blue,33.448534,-112.047339,309.436
W3,yellow,33.448528,-112.047278,312.155
W3,yellow,33.448459,-112.047259,312.217
W3,yellow,33.448451,-112.047261,312.373
W0,red,33.448438,-112.047657,313.074
W0,red,33.448632,-112.047731,314.388
W0,red,33.449837,-112.047718,315.53
W0,red,33.450966,-112.047682,312.986
W0,red,33.451135,-112.047659,312.964
