name,color,lat,lon,elevation
W3,yellow,34.931611,-110.136704,1605.846
W3,yellow,34.931611,-110.136704,1604.514
W3,yellow,34.931611,-110.136704,1604.66
W4,pink,34.925135,-110.14457,1604.355
W0,red,34.922698,-110.147027,1604.407
W0,red,34.919972,-110.149771,1601.341
W0,red,34.919162,-110.150587,1598.692
W0,red,34.918647,-110.151114,1596.668
W0,red,34.918129,-110.151628,1594.961
W0,red,34.917167,-110.15261,1591.857
W0,red,34.915384,-110.154462,1588.871
W0,red,34.914393,-110.155464,1585.827
W0,red,34.913826,-110.156002,1583.526
W0,red,34.913243,-110.15649,1580.404
W0,red,34.912615,-110.15693,1577.062
W0,red,34.912484,-110.157015,1576.776
W0,red,34.911996,-110.157321,1572.782
W0,red,34.91153,-110.157537,1569.705
W0,red,34.911183,-110.15767,1567.56
W0,red,34.910624,-110.157856,1563.597
W0,red,34.910411,-110.157917,1562.934
W0,red,34.909572,-110.158075,1559.884
W2,blue,34.908998,-110.158085,1557.443
W2,blue,34.908699,-110.157926,1555.673
W2,blue,34.908714,-110.157847,1556.187
W2,blue,34.908755,-110.157818,1556.184
W3,yellow,34.908799,-110.157837,1556.544
W3,yellow,34.908798,-110.157816,1556.189
W3,yellow,34.908973,-110.157796,1556.072
W2,blue,34.909075,-110.157913,1555.898
W3,yellow,34.909123,-110.15793,1555.993
W0,red,34.908687,-110.158006,1554.639
W0,red,34.908458,-110.158039,1553.975
W0,red,34.907714,-110.158069,1551.65
W3,yellow,34.907665,-110.158078,1551.703
W3,yellow,34.90766,-110.158077,1551.971
W2,blue,34.907672,-110.157866,1551.747
W3,yellow,34.907773,-110.157843,1552.372
W3,yellow,34.907771,-110.157842,1556.035
W3,yellow,34.907771,-110.157842,1552.015
W3,yellow,34.907825,-110.157837,1549.965
W3,yellow,34.907886,-110.157727,1551.594
W3,yellow,34.907957,-110.157711,1550.228
W2,blue,34.908068,-110.157892,1550.683
W2,blue,34.908074,-110.157953,1551.135
W2,blue,34.907839,-110.158069,1550.804
W2,blue,34.907301,-110.158105,1550.46
W2,blue,34.907232,-110.158105,1550.427
W2,blue,34.90699,-110.158097,1551.428
W0,red,34.905998,-110.158125,1551.809
W0,red,34.904084,-110.158185,1551.439
W0,red,34.902422,-110.158483,1550.916
W0,red,34.901893,-110.158598,1550.152
W0,red,34.901773,-110.158642,1550.568
W0,red,34.901692,-110.158991,1551.255
W0,red,34.901841,-110.160288,1551.743
W0,red,34.902167,-110.162783,1550.969
W0,red,34.90244,-110.165012,1550.856
W0,red,34.902653,-110.166782,1549.677
W0,red,34.902832,-110.166954,1549.419
W2,blue,34.902962,-110.167141,1549.798
W2,blue,34.90292,-110.167255,1549.853
W3,yellow,34.903012,-110.167264,1550.212
W3,yellow,34.90306,-110.167278,1550.675
